date, region, infected, recovered, timestamp_requested
2021-08-03 04:21:39,Stavropol Krai,65229,56923,08-03-2021 09.23.24
2021-08-03 04:21:39,Sverdlovsk Oblast,108468,100748,08-03-2021 09.23.24
2021-08-03 04:21:39,Tambov Oblast,37870,35697,08-03-2021 09.23.24
2021-08-03 04:21:39,Tatarstan Republic,24032,21289,08-03-2021 09.23.24
2021-08-03 04:21:39,Tomsk Oblast,37418,33536,08-03-2021 09.23.24
2021-08-03 04:21:39,Tula Oblast,47682,41235,08-03-2021 09.23.24
2021-08-03 04:21:39,Tver Oblast,54152,46049,08-03-2021 09.23.24
2021-08-03 04:21:39,Tyumen Oblast,47127,43648,08-03-2021 09.23.24
2021-08-03 04:21:39,Tyva Republic,21663,17882,08-03-2021 09.23.24
2021-08-03 04:21:39,Udmurt Republic,40227,33692,08-03-2021 09.23.24
2021-08-03 04:21:39,Ulyanovsk Oblast,66159,61736,08-03-2021 09.23.24
2021-08-03 04:21:39,Vladimir Oblast,43640,40524,08-03-2021 09.23.24
2021-08-03 04:21:39,Volgograd Oblast,71886,63953,08-03-2021 09.23.24
2021-08-03 04:21:39,Vologda Oblast,55207,49250,08-03-2021 09.23.24
2021-08-03 04:21:39,Voronezh Oblast,104986,96742,08-03-2021 09.23.24
2021-08-03 04:21:39,Yamalo-Nenets Autonomous Okrug,43888,41692,08-03-2021 09.23.24
2021-08-03 04:21:39,Yaroslavl Oblast,50132,43825,08-03-2021 09.23.24
2021-08-03 04:21:39,Zabaykalsky Krai,56883,50753,08-03-2021 09.23.24
2021-08-02 04:21:36,Adygea Republic,16351,15159,08-03-2021 09.23.24
2021-08-02 04:21:36,Altai Krai,62365,49095,08-03-2021 09.23.24
2021-08-02 04:21:36,Altai Republic,19489,18034,08-03-2021 09.23.24
2021-08-02 04:21:36,Amur Oblast,27843,24863,08-03-2021 09.23.24
2021-08-02 04:21:36,Arkhangelsk Oblast,74156,69604,08-03-2021 09.23.24
2021-08-02 04:21:36,Astrakhan Oblast,43676,36619,08-03-2021 09.23.24
2021-08-02 04:21:36,Bashkortostan Republic,48509,44799,08-03-2021 09.23.24
2021-08-02 04:21:36,Belgorod Oblast,44732,41574,08-03-2021 09.23.24
2021-08-02 04:21:36,Bryansk Oblast,54362,49398,08-03-2021 09.23.24
2021-08-02 04:21:36,Buryatia Republic,52572,47231,08-03-2021 09.23.24
2021-08-02 04:21:36,Chechen Republic,16092,13033,08-03-2021 09.23.24
2021-08-02 04:21:36,Chelyabinsk Oblast,73846,66334,08-03-2021 09.23.24
2021-08-02 04:21:36,Chukotka Autonomous Okrug,1173,866,08-03-2021 09.23.24
2021-08-02 04:21:36,Chuvashia Republic,29364,26758,08-03-2021 09.23.24
2021-08-02 04:21:36,Dagestan Republic,41917,37399,08-03-2021 09.23.24
2021-08-02 04:21:36,Ingushetia Republic,17692,16315,08-03-2021 09.23.24
2021-08-02 04:21:36,Irkutsk Oblast,85831,73001,08-03-2021 09.23.24
2021-08-02 04:21:36,Ivanovo Oblast,41508,38272,08-03-2021 09.23.24
2021-08-02 04:21:36,Jewish Autonomous Okrug,5774,4467,08-03-2021 09.23.24
